DATE,Net Asset Value (TZS),Outstanding Number of Units,NAV per Unit (TZS),Sale Price Per Unit (TZS),Repurchase Price Per Unit (TZS)
19-05-2025,14645118211,136303908,107.4358,107.4358,107.4358
16-05-2025,14483484642,134902709,107.3536,107.3536,107.3536
15-05-2025,14468309060,134802583,107.3208,107.3208,107.3208
14-05-2025,14461820977,134783167,107.2881,107.2881,107.2881
13-05-2025,14354436081,133824295,107.2545,107.2545,107.2545
05/12/2025,14236142368,132760697,107.2228,107.2228,107.2228
05/09/2025,14216163076,132693377,107.1266,107.1266,107.1266
05/08/2025,14231081394,132836421,107.1236,107.1236,107.1236
05/07/2025,14502222651,135544699,106.9834,106.9834,106.9834
05/06/2025,15860504853,148316173,106.9283,106.9283,106.9283
05/05/2025,15849313167,148288355,106.8729,106.8729,106.8729
05/02/2025,15833963352,148272311,106.781,106.781,106.781
30-04-2025,15826897311,148322495,106.6972,106.6972,106.6972
29-04-2025,15860816843,148687606,106.6633,106.6633,106.6633
28-04-2025,15838257684,148560896,106.6025,106.6025,106.6025
25-04-2025,15789661845,148242503,106.5036,106.5036,106.5036
24-04-2025,15766289661,148043853,106.4887,106.4887,106.4887
23-04-2025,15715487235,147616106,106.4531,106.4531,106.4531
22-04-2025,15644184457,147043275,106.383,106.383,106.383
17-04-2025,14623250568,137640439,106.2337,106.2337,106.2337
16-04-2025,14611009530,137564782,106.2031,106.2031,106.2031
15-04-2025,14582152005,137335402,106.1704,106.1704,106.1704
14-04-2025,13293447362,125338386,106.0517,106.0517,106.0517
04/11/2025,13278534301,125312724,105.9545,105.9545,105.9545
04/10/2025,13209212805,124679463,105.9367,105.9367,105.9367
04/09/2025,13147436768,124138014,105.9011,105.9011,105.9011
04/08/2025,12568034740,118731477,105.8439,105.8439,105.8439
04/04/2025,11984394924,113345765,105.7244,105.7244,105.7244
04/03/2025,11942946784,112992876,105.6878,105.6878,105.6878
04/02/2025,11737084333,111083556,105.6513,105.6513,105.6513
28-03-2025,11705628956,110984765,105.4619,105.4619,105.4619
27-03-2025,11695918777,110947946,105.4094,105.4094,105.4094
26-03-2025,11680898422,110849007,105.368,105.368,105.368
25-03-2025,11673236683,110816058,105.3302,105.3302,105.3302
24-03-2025,11663786618,110774612,105.2843,105.2843,105.2843
21-03-2025,11654821183,110746794,105.2298,105.2298,105.2298
20-03-2025,11632221610,110574164,105.1897,105.1897,105.1897
19-03-2025,11614874549,110569538,105.0372,105.0372,105.0372
18-03-2025,11605700111,110522423,104.999,104.999,104.999
17-03-2025,11578664627,110318085,104.9485,104.9485,104.9485
14-03-2025,11566667513,110308995,104.8484,104.8484,104.8484
13-03-2025,11559742306,110302649,104.7916,104.7916,104.7916
03/12/2025,11526541559,110012551,104.7662,104.7662,104.7662
03/11/2025,11522900945,110005381,104.7399,104.7399,104.7399
03/10/2025,11517398482,109995464,104.6993,104.6993,104.6993
03/07/2025,11466578803,109611449,104.6025,104.6025,104.6025
03/06/2025,11461890424,109591426,104.5789,104.5789,104.5789
03/05/2025,11457302998,109577771,104.55,104.55,104.55
03/04/2025,11452448889,109552850,104.5295,104.5295,104.5295
03/03/2025,11442054420,109476884,104.5071,104.5071,104.5071
28-02-2025,11421245128,109291766,104.4937,104.4937,104.4937
27-02-2025,11402044591,109131722,104.4711,104.4711,104.4711
26-02-2025,11397300812,109111302,104.4471,104.4471,104.4471
25-02-2025,11392377240,109087888,104.4244,104.4244,104.4244
24-02-2025,11385275649,109043197,104.4021,104.4021,104.4021
21-02-2025,11376256536,109024875,104.3284,104.3284,104.3284
20-02-2025,11368397179,108973245,104.3143,104.3143,104.3143
19-02-2025,11361314462,108929042,104.2916,104.2916,104.2916
18-02-2025,11356732752,108908806,104.2689,104.2689,104.2689
17-02-2025,11260821020,108012458,104.2463,104.2463,104.2463
14-02-2025,11250362935,107986282,104.1747,104.1747,104.1747
13-02-2025,11244266825,102027527,104.1388,104.1388,104.1388
02/12/2025,11236905578,107965013,104.1028,104.1028,104.1028
02/11/2025,11229516422,107897856,104.0669,104.0669,104.0669
02/10/2025,11152202548,107218983,104.0048,104.0048,104.0048
02/07/2025,11126333411,107054810,103.9226,103.9226,103.9226
02/06/2025,11121003764,107039481,103.8877,103.8877,103.8877
02/05/2025,11114845760,107016084,103.8529,103.8529,103.8529
02/04/2025,11096261113,106873489,103.8176,103.8176,103.8176
02/03/2025,11069862317,106705790,103.7334,103.7334,103.7334
31-01-2025,11055539832,106689978,103.623,103.623,103.623
30-01-2025,11049012448,106653023,103.5977,103.5977,103.5977
29-01-2025,11046375592,106627775,103.5975,103.5975,103.5975
28-01-2025,11029792791,106504674,103.5616,103.5616,103.5616
27-01-2025,11027158024,106493089,103.5481,103.5481,103.5481
24-01-2025,10948011607,106455866,102.8408,102.8408,102.8408
23-01-2025,10943309977,106451895,102.8005,102.8005,102.8005
22-01-2025,10937418105,106436322,102.7602,102.7602,102.7602
21-01-2025,10931784683,106423242,102.7199,102.7199,102.7199
20-01-2025,10926897038,106417403,102.6796,102.6796,102.6796
17-01-2025,10876178043,106049526,102.5575,102.5575,102.5575
16-01-2025,10769895349,105055639,102.5161,102.5161,102.5161
15-01-2025,10762853174,105027411,102.4766,102.4766,102.4766
14-01-2025,10758272013,105024384,102.4359,102.4359,102.4359
13-01-2025,10676997302,104275160,102.3925,102.3925,102.3925
01/10/2025,10653103864,104166803,102.2697,102.2697,102.2697
01/09/2025,10625457432,103938239,102.2286,102.2286,102.2286
01/08/2025,10620321141,103908337,102.2086,102.2086,102.2086
01/07/2025,10614462075,103880439,102.1796,102.1796,102.1796
01/06/2025,10595522800,103801097,102.0752,102.0752,102.0752
01/03/2025,10573629603,103699773,101.9639,101.9639,101.9639
01/02/2025,10565704827,103659815,101.9267,101.9267,101.9267
31-12-2024,10557081716,103641544,101.8531,101.8531,101.8531
30-12-2024,10552788657,103637669,101.8155,101.8155,101.8155
27-12-2024,10534691523,103584248,101.6933,101.6933,101.6933
24-12-2024,10521152319,103564373,101.5821,101.5821,101.5821
23-12-2024,10517143163,103562701,101.545,101.545,101.545
20-12-2024,10503191716,103528577,101.4438,101.4438,101.4438
19-12-2024,10499015764,103525166,101.4068,101.4068,101.4068
18-12-2024,10495376726,103518615,101.378,101.378,101.378
17-12-2024,10491607863,103510822,101.3493,101.3493,101.3493
16-12-2024,10488914701,103504989,101.3206,101.3206,101.3206
13-12-2024,10475143462,103465610,101.2344,101.2344,101.2344
12/12/2024,10471773988,103461637,101.2058,101.2058,101.2058
12/11/2024,10357920973,102365740,101.1771,101.1771,101.1771
12/10/2024,10322747906,102055279,101.1403,101.1403,101.1403
12/06/2024,10305370074,102030833,100.9942,100.9942,100.9942
12/05/2024,10301306258,102027527,100.9577,100.9577,100.9577
12/04/2024,10297780484,102025694,100.9249,100.9249,100.9249
12/03/2024,10283291690,102019047,100.7895,100.7895,100.7895
12/02/2024,10277571886,101995378,100.7568,100.7568,100.7568
29-11-2024,10262940909,101951270,100.6569,100.6569,100.6569
28-11-2024,10257860886,101926855,100.6312,100.6312,100.6312
27-11-2024,10241465800,101789964,100.6054,100.6054,100.6054
26-11-2024,10238447109,101786031,100.5797,100.5797,100.5797
25-11-2024,10222263964,101679393,100.526,100.526,100.526
22-11-2024,10112101804,100659077,100.4507,100.4507,100.4507
21-11-2024,0,0,100,100,100
